"scenario","income","Rt","Vaccine","life_years_saved_med","life_years_saved_undiscounted_med","productive_life_years_saved_med","productive_life_years_saved_undiscounted_med","economic_productive_loss_med","economic_productive_loss_undiscounted_med","economic_lives_saved_med","economic_life_years_saved_med","economic_life_years_saved_undiscounted_med","life_years_saved_025","life_years_saved_undiscounted_025","productive_life_years_saved_025","productive_life_years_saved_undiscounted_025","economic_productive_loss_025","economic_productive_loss_undiscounted_025","economic_lives_saved_025","economic_life_years_saved_025","economic_life_years_saved_undiscounted_025","life_years_saved_25","life_years_saved_undiscounted_25","productive_life_years_saved_25","productive_life_years_saved_undiscounted_25","economic_productive_loss_25","economic_productive_loss_undiscounted_25","economic_lives_saved_25","economic_life_years_saved_25","economic_life_years_saved_undiscounted_25","life_years_saved_75","life_years_saved_undiscounted_75","productive_life_years_saved_75","productive_life_years_saved_undiscounted_75","economic_productive_loss_75","economic_productive_loss_undiscounted_75","economic_lives_saved_75","economic_life_years_saved_75","economic_life_years_saved_undiscounted_75","life_years_saved_975","life_years_saved_undiscounted_975","productive_life_years_saved_975","productive_life_years_saved_undiscounted_975","economic_productive_loss_975","economic_productive_loss_undiscounted_975","economic_lives_saved_975","economic_life_years_saved_975","economic_life_years_saved_undiscounted_975"
12,"LIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",7920716.04692018,11719485.0225949,5533305.932359,8554780.46317369,11751084306.5226,18216988726.2739,37052028510.1452,21354663205.4058,15519710754.3437,6919055.56887687,10051410.442193,4806518.19409364,7333743.13310805,10209419635.9098,15637392883.8877,32963151614.1012,18930376667.0843,13525990021.5962,7539866.51082884,11063326.1636058,5222911.68800901,8000174.19246264,11029982527.7666,16976534983.6368,35407584339.0285,20312138691.621,14601892899.984,8308018.33744334,12384280.4671484,5908447.6073352,9191829.92219228,12624402072.1415,19763076472.3265,39089093838.8299,22946652091.6491,16817036716.0579,8879273.25130731,13414275.949881,6417633.19691454,10076240.6897789,14252172622.564,22646982355.1722,41466430088.4836,25353309608.4906,18931033641.0275
1,"LMIC","History Based","100-Day Mission",89035341.0166759,132085769.986677,61835322.9808042,96653080.776391,508982925820.377,797072616535.048,5516674548362.87,3481926294143.92,2645675428258.77,58004440.7455477,88640390.4447785,44725890.4041017,69977225.2478348,388244591661.281,605534168843.92,3674099025744.29,2448650587528.95,1892494945289.32,71179338.1109837,106309676.61073,52681533.9987151,82108762.1699382,440042385179.284,690609128508.234,4390478033056.58,2865981304788.64,2162421376576.79,96155150.8489938,146631261.631764,71745920.8812163,114231152.866383,577699080779.932,916713259571.546,5680251916112.11,3721077373607.8,2874038471010.95,100711781.363088,155849371.097323,77318565.8025876,123223590.216354,618505110438.06,986226274160.724,5831312161621.91,3903812055560.06,3049068699724.33
2,"LMIC","Target Based","100-Day Mission",44654920.9375074,64092826.6198347,33245977.3613096,51145813.9782708,302708922008.159,470840581071.228,3041189924452.55,1946514686999.16,1454856000434.99,21570019.5931871,28831051.8620408,17143337.1318184,25798972.6552972,179279994829.954,273527093969.943,2060023846039.47,1221918585465.39,873597036358.759,37230420.3281214,52425133.9295775,27234296.3269119,40409070.2206113,254596549558.661,391810395515.826,2750734872243.83,1721847029034.54,1261684964320.35,53228920.3138999,79501851.0098265,41431404.9418371,64769160.5010259,357664290599.041,561514643630.348,3389114974376.08,2184642350219.07,1671462987960.95,69032299.1743501,105134093.727881,52772690.6681243,83785947.9889166,438471972039.576,697241669490.037,4148603692986.89,2713285893699.04,2089318864711.44
3,"LMIC","Economic Based","100-Day Mission",72790834.0019403,107848575.850396,51640741.8627675,81158404.4095003,435313697210.168,684100752052.51,4645435096518.18,2912910186493.87,2207800260645.74,49979989.0487357,73184006.4282947,37557465.6389644,58376751.7000488,330899120244.954,516733481630.073,3233261434252.29,2102237876039.58,1595239881346.47,58774180.1237209,88216865.2585476,45120209.3406432,69913400.7141097,384158318629.684,602245071254.123,3830984704041.83,2416566615868.34,1836563509354.07,84406938.7318667,128397392.360395,62701821.8554305,99475131.1155718,515865702367.589,820462637380.971,5010890498007.07,3302943693300.38,2564537331781.52,90922304.9821508,140380631.807286,70462692.3016393,112371673.809789,568469071184.87,905850492965.923,5229035516608.68,3524887537092.98,2754845302483.29
4,"LMIC","History Based","100-Day Mission & Manufacturing",104844220.842644,156293094.735513,73631668.0901935,115383218.211867,598497691421.431,942383251698.034,6503402324577.97,4085382395293.74,3094947721117.82,59169304.8272686,90570650.9009219,46340421.4539076,72885320.6853096,399988050711.611,628221990724.131,3881097964051.74,2554106350339.52,1959099354139.74,101626738.827234,149824895.971705,68618437.5797204,106237344.030437,559497445775.256,869426737328.904,6387240281279.72,3939114329473.27,2954835425072.65,109496816.373184,167378454.371327,81113421.6627452,128553324.799943,654113957737.122,1039655129772.84,6556311651030.86,4239834900549.19,3272457618720.14,114114205.031959,175956706.109073,86728198.0841564,137945635.007128,694523642554.528,1105375648357.3,6701455057792.93,4411622405801.04,3434544383284.4
5,"LMIC","Target Based","100-Day Mission & Manufacturing",78936677.6888688,116048094.60173,54548753.9012084,84349854.1211327,463039298127.341,722753654470.044,5169241417080.08,3177807269384.46,2375803968179.64,27861954.5934345,40756320.0072085,24602145.0334517,37908900.7611125,238489404507.328,369802826023.451,2107850067141.16,1405758604314.31,1060905534842.8,62444312.2468807,90779514.0463575,45066434.5757853,69294946.7089482,390966914073.72,597507903978.519,4149016205140.3,2588251769526.13,1937907849997.84,85719387.7165038,126762429.121576,61550455.3541122,97302544.6267391,518338352731.538,813123065586.497,5488422521206.42,3432996794420.81,2615631950204.23,95138871.0215893,145042301.70575,72147783.4684781,114700091.742834,589925620765.908,938291401171.292,5734051793875.23,3760745492185.49,2912670291638.77
6,"LMIC","Economic Based","100-Day Mission & Manufacturing",91018798.1212221,134467174.958481,61900195.4018142,95819906.2449182,521606687394.796,808786863338.184,5849184696731.19,3652897034395.02,2736980645032.28,59336424.3230069,89293056.2162312,45551247.7487952,71360028.9764009,403895130128.949,632375167430.926,3953573164169.38,2596444046306.85,1978413960674.7,70359781.4795891,106364212.655024,52736995.896563,82629441.0844427,451599104750.242,710231990275.902,4641102760029.6,2951001947222.38,2270002960761.96,96775634.9995824,146705411.101243,71005923.4908733,112594264.067455,592642499941.117,941850783093.162,6011906612242.68,3885311964425.61,2994359408865.35,104282583.669565,160024162.854963,79003200.7223611,125862517.941094,647430536549.758,1031987471754.14,6213660202842.8,4112039591456.37,3211454019337.81
7,"LMIC","History Based","100-Day Mission & Infrastructure",98832899.0383101,150037782.70392,72005557.3009626,113048892.581346,584453622068.475,918435067479.783,6064076668094.94,3860815260518.6,2962208720207.95,56452771.9256372,85621786.2239716,43178683.1964226,68514950.6573384,384444831379.939,611638060169.212,3761022888072.86,2472785749065.47,1901710870881.95,94134708.8983673,140201281.954906,64802805.5962812,100774718.521009,530170689696.118,830267137833.549,5948691418010.99,3703041322849.86,2780817555229.43,104090683.424089,159339708.766445,77922619.7241085,123520996.114242,622901460832.273,989604355424.969,6163001740462.74,4020183603741.07,3107049047508.71,108224187.2383,167278572.225108,82872244.7943096,131868702.6666,661618216864.695,1053343535206.19,6273384741614.65,4176598504017.54,3258623786151.89
8,"LMIC","Target Based","100-Day Mission & Infrastructure",74212731.6090719,109590511.219632,52409009.0180979,80728941.9145407,443662454824.985,690413712737.343,4769446833902.3,2995175392121.06,2241813861048.85,49148010.9877679,71743801.4764878,35923472.0138655,55629710.806132,306044407574.671,477360240540.231,3081683189622.44,1992739904070.44,1503302416632.38,60693788.8812511,89614966.277433,45490709.1312461,70784641.8801291,391702171904.678,605618493650.664,4127392719830.11,2566119812326.88,1961442248608.36,83853595.0844048,126276955.8955,61814116.1300993,97604668.5121319,516086328423.124,813448330525.61,5082848298530.6,3327161713890.68,2567864855819.22,92112797.462496,141216508.232277,70474285.2754089,112226654.965494,576111462378.498,917707384587.364,5406508429852.33,3645348165745.59,2847203951163.18
9,"LMIC","Economic Based","100-Day Mission & Infrastructure",86989572.0083321,130234717.681719,61190507.4877398,95171878.7942897,508155643609.878,792677874861.806,5431599790932.08,3490174714657.54,2622041364614.51,56143127.6295763,82806926.1864413,40992773.5186415,64051079.5690197,365624571530.972,574046992252.508,3709525809216.83,2456802395078.43,1856393537818.02,71090760.7009424,105716528.066746,52194567.0738534,81733257.1612329,442246718967.188,694562763052.24,4565679107007.47,2922976800694.77,2211968897454.65,94152546.5233888,143980807.611823,71268162.5545011,113010205.38003,581502647531.273,924678053827.253,5693124397963.45,3719866758534.37,2870231235307.87,100826142.144668,155787700.949038,77907085.6268761,124118937.88809,625966578984.077,996924757431.501,5876971339194.54,3935358811619.68,3066073731061.1
10,"LMIC","History Based","100-Day Mission Total (Manu. & Infr.)",110155122.820303,165523057.29042,78154705.4956006,122669166.141328,629838659798.027,991648110413.914,6811057342645.54,4287608737399.12,3255210829716.08,66408750.1572124,100191837.861025,50949912.3468544,80124313.0201882,434757630289.548,683305702071.096,4385251556174.12,2825342724386.48,2150993835216.25,106736681.830608,157232425.742595,72235101.3161305,112337561.529438,591199527884.779,920670361377.942,6718155008881.55,4165681686044.41,3123957365852.43,114445546.469505,174940631.145818,84740328.449156,134436954.378951,685718683348.071,1087556230424.49,6861010842341.4,4446806221752.74,3435193478896.11,118985794.907304,183340551.91211,90429678.980505,143783403.844782,723718892059.671,1152332367298.26,6986486721422.74,4596330990554.58,3578498070953.21
11,"LMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",95587304.9758766,140799548.037683,66029465.2801691,102085352.216387,540349010978.645,839134049676.26,5900754133592.84,3710305414427.28,2791034352721.37,56847133.7023766,85856469.0048185,45633437.1678537,71341010.9144906,383637980732.746,599429972199.82,3636720077883.35,2381862118602.08,1808734142935.03,76901468.4222538,114942749.811365,57265967.2479735,89286277.6132849,483431707592.526,754653351587.45,4843456889943.39,3116482356343.73,2366214199107.55,102733798.314819,155403000.251322,75656738.6252877,120022482.907472,615113286707.617,973103231535.883,6215231370961.77,3963430392022.71,3041761440974.43,109356781.603394,167730973.928095,83674595.8543562,132999639.403997,669140041001.835,1064206830895.15,6383795757926.97,4237650335647.4,3289534731998.87
12,"LMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",103607646.819201,153987122.308135,71261648.4515139,110995095.76502,586624549245.637,915574356108.184,6430524449809.29,4046132295378.86,3065318237894.24,62429896.2042077,94880181.2694269,49415211.3778654,77656249.5125995,426588276152.25,669426045229.381,3979860110675.43,2684271765733.15,2062591533627.69,78090443.5196702,115878858.293798,56278284.3363043,88048090.45363,474408591451.391,740279941432.375,5065880242007.31,3207597767907.48,2432087158899.74,109382027.049862,166692234.979474,80856498.2000885,128179296.067472,653516031968.099,1038350864333.69,6563621862350.06,4266004640394.1,3285275023647.82,113547363.482477,174807956.870623,86655445.2122992,137979313.226241,700536982069.963,1116339114260.16,6688847739732.6,4419510014507.62,3436404764790.43
1,"UMIC","History Based","100-Day Mission",31786242.1821199,48158515.3914849,21762216.8594692,34959947.6795733,437071539732.704,703294592265.612,5843668501236.48,3837873767612,2944168927761.77,27817158.9373825,41895029.2857674,18533131.1224369,29522697.2857333,360434282725.929,576095100383.222,4992778306209.26,3232290891188.24,2450358027262.41,29985377.3978898,44778389.6498852,20080032.3615021,32331314.7993284,397463306531.38,640591181788.227,5536334334338.44,3555822370384.23,2685502656459.31,34039205.6856265,51744558.4790873,23531565.3234847,38160617.8208166,503604273491.668,810781407616.882,6332486234137.26,4321894436639.52,3370157680691.74,39023615.9782375,60319843.3718036,28374709.4859501,46256282.9027905,617144741045.115,1002878909009.86,7398576968240.12,5199976921093.04,4136635695494.43
2,"UMIC","Target Based","100-Day Mission",15197239.1238707,21856908.5618365,10059827.4639228,15686440.6368388,200086067193.513,311775684627.437,2996269301339.27,1855119002029.67,1371691141477.02,8700246.54360875,12335001.9719434,5858292.59900262,8922480.57259197,101958041165.352,157375653071.058,1260964692156.2,744053939528.677,507438254112.199,12721676.7566851,17968111.7704795,8361001.96355478,13038711.0313228,156998491421.941,238969917632.781,2483644677536.48,1510514925828.31,1068682229012.4,17793426.3637836,25946639.9176564,11894579.7941494,18869139.1604453,259885914815.152,408627569123.811,3674905763761.62,2345479424467.88,1782914736300.62,22804870.166079,34094758.1654798,16523721.101411,26571994.521789,360402376164.971,571730605367.635,4539217248287.77,3147497841963.63,2454769926566.95
3,"UMIC","Economic Based","100-Day Mission",24759963.9675843,37060440.5167674,17156473.7084569,27424224.7464685,354847245989.688,568412443936.851,4831723997214.19,3154567891795.7,2394146237129.35,19457517.2926635,28722882.2121132,13520564.610109,21464385.7359118,269812885548.941,425955026155.163,3646578652762.98,2326117519708.42,1734547999151.13,23114578.3246587,34617651.8012266,15885376.7142805,25456434.8639579,325626250654.624,518831701029.339,4442939878296.33,2850840188509.88,2158726954320.73,27387259.552001,40924727.1140388,19206604.986307,30987910.4402557,423942201476.436,678363898776.386,5361737479679.55,3626262725446,2836918849785,31225790.9230812,47910265.8804825,22849122.7427327,37042669.5305014,496584867756.233,800672746285.513,6098191314053.38,4195789538376.82,3282115940990.48
4,"UMIC","History Based","100-Day Mission & Manufacturing",36823756.3463715,55883937.2640884,24668746.5247472,39964632.037262,473345518686.966,765640199757.262,6638429731496.65,4268037134126.58,3303809145881.02,31350516.8629864,46983282.2099952,20013051.3671508,32194091.8513253,363742819573.108,581217742269.548,5207231725237.78,3329752468489.19,2537953604299.61,34401043.9828197,51588686.2516108,22674429.3442391,36371958.1390307,431025168883.476,691602727621.353,6157546874629.81,3929934358431.52,2957831431539.17,39997640.0131406,60482520.4352729,27233044.7091785,44144202.7343612,573400271751.59,924274984076.152,7349738639348.18,4939186669924.74,3860112369712.16,46282508.5682258,71085689.5708569,32694457.4000133,53139866.0578617,711405818683.553,1156439467573.35,8876679100789.76,6140862729805.26,4897770707203.46
5,"UMIC","Target Based","100-Day Mission & Manufacturing",24974131.822305,36900374.4488617,16641135.341497,26743324.3718011,314763774450.664,498609340424.968,4513986889152.81,2859736917449.47,2142408975587.99,16753468.918214,24458040.4702134,11470621.3956066,17481604.8239401,167940170484.681,242985287345.644,2185656692280.68,1342837137229.7,992943545251.28,21992220.5100205,31700175.5121446,14234017.8557106,22606388.7427239,261908722566.596,411837848733.743,3649508052095.1,2321802853125.59,1739058081047.67,27905158.3233553,41439261.5792436,19297998.5038789,30773062.561296,412635632393.028,656669366991.394,5376472756391.3,3568472660295.86,2771593893301.67,33917626.988592,51601023.7899087,24536266.297717,39733280.1892746,543581235196.424,877553133668.436,6575106153413.55,4589603130865.52,3617120342833.35
6,"UMIC","Economic Based","100-Day Mission & Manufacturing",31507983.9888512,47540853.8211074,21564104.9119519,34666745.2386139,422539671316.649,678437797920.489,5758300158226.22,3764880776128.72,2852332635160.2,25969051.4155028,38602832.215533,16826834.1661752,26722538.1327059,300975474435.076,479043175555.985,4175631996995.91,2756829700268.02,2082279760992.24,29222262.0649557,43561094.7059267,19590972.5032614,31398135.5153028,377729089717.33,604618047912.999,5181860297426.05,3325254450757.21,2529812167351.89,34089255.257655,51555840.4799108,23658038.5570625,38219952.8662164,508829975483.939,820068304159.633,6452376184822.95,4397531779786.76,3425798002760.66,36698817.9387464,56334361.3286112,26713224.6187158,43578177.4006864,581154649602.596,946663272842.694,6987635364554.49,4830558789457.37,3836442591367.51
7,"UMIC","History Based","100-Day Mission & Infrastructure",37860349.4825621,57554971.9169414,25670873.0010238,41316247.2924465,516964239507.727,836182070721.584,7095821834082.23,4625051379970.15,3556374371187.66,33924872.1844629,50274496.3436971,21636208.7121287,34436851.456789,429123014476.339,680356844418.371,6214572976973.9,3987561053109.67,3020543931532.01,35799654.0322908,53740994.7630417,23703152.3450662,38120072.9050216,470900761589.071,758590022827.604,6762033804768.17,4294964006925.24,3259170567965.89,40739156.086264,61885459.9831832,28151520.6712965,45692855.9843158,614640142163.001,989194874526.077,7800904060883.1,5272511363076.86,4120324810856.56,47590130.337017,73373069.6038339,34255863.9494455,55729971.959119,767401695907.483,1244856224452.18,9409601658251.3,6582827457131.87,5247741995844.66
8,"UMIC","Target Based","100-Day Mission & Infrastructure",25670208.2089212,38386681.241322,17418594.6627157,27917873.1205562,337344827337.889,535458447865.235,4715380845636.27,3023190366211.31,2246357501364.68,19060505.8432032,27294416.7218237,12197431.0922175,19209246.9154448,218901011119.352,338992388310.845,3118724627114.06,1940295046723.86,1419396126680.78,23188396.7819995,34395166.034935,15657039.8117771,24930824.0272594,291004915443.084,462320270088.522,4150618242577.57,2598260353627.77,1918798313525.06,28895509.768366,42898827.1769021,20088822.9971736,31978784.9313016,434661930945.077,687234742976.885,5723566715108.96,3823161453117.78,2948802501734.87,36106160.0919572,54732884.0701387,26065042.7143398,41992223.2865553,582562316454.49,931827416246.918,7250280949385.67,5034527893486.97,3950445146735.18
9,"UMIC","Economic Based","100-Day Mission & Infrastructure",32520525.4472172,49276194.4086976,22540014.9494368,36257349.640321,456473324698.927,734435879032.278,6171023941202.69,4028896693363.16,3066707634369.22,27087697.4375698,40144691.9054616,18384700.4537656,29124141.3187976,365940116535.053,579581726183.142,5036159419498.8,3245108421350.91,2466937247319.79,30814847.2029102,46208380.2087882,20751295.559128,33226195.2872111,419901255762.893,673564629760.925,5875636986154.85,3787094697663.76,2870104356471.43,35173319.2159159,53130616.9510634,24942004.9250449,40296539.4208003,560633500593.607,900402441231.317,7082215045242.73,4845655283207.22,3805395674576.1,40019785.7839429,61622767.3326239,29091077.8602611,47267651.4722982,643210013767.44,1040832049321.69,7703632141402.32,5401357146746.24,4275667499119.3
10,"UMIC","History Based","100-Day Mission Total (Manu. & Infr.)",41424838.9786976,62421113.5917159,27618107.1622105,44505768.5205662,548309290362.755,878087054534.493,7666505772528.98,4939292858509.54,3804945197559.84,35620088.0476297,53152218.6504668,22850077.863771,36615225.3312585,418521015731.051,664387052761.458,6273327633002.88,3923186449754.98,2983899838115.13,38762223.9191379,58169698.1083856,25583480.1579128,40764516.3863813,489116567782.265,780243462708.462,7228116189106.17,4543844061889.86,3430576117938.76,44098179.7240515,66628536.0324778,30322204.3833837,48876165.8922691,646585032093.826,1039333869261.07,8513896894334.19,5725529121700.55,4453173134768.84,50595551.4729624,77639447.572941,36106493.2946363,58540551.1543204,793110684199.573,1286175272153.09,9802774291223.07,6851558175655.65,5467918210616.37
11,"UMIC","Target Based","100-Day Mission Total (Manu. & Infr.)",30423276.2453764,45626975.3737295,20778444.6858975,33465211.8733228,391898143163.558,628032089533.524,5486188254582.87,3423734257230.4,2583153994171.9,22987715.1455202,33577926.218183,14601301.6461872,23085095.2247341,243644759671.734,379871133934.145,3456440217150.4,2192046627731.46,1648881141666.22,27805357.7697831,40810771.3734311,18203730.116508,28993541.4281408,337390695120.568,530339731038.387,4838392878842.51,3029097624888.43,2256404188324.54,34282705.738702,51485046.3604696,24183265.6969953,39032980.0581334,505424120674.78,804813963074.027,6524012331680.01,4454004288383.81,3420470535916.48,39176434.2428808,59251555.9268963,28177388.2735046,45523899.5067806,621976468677.579,1003604295501.17,7558074152832.45,5265226065602.46,4162239312343.6
12,"UMIC","Economic Based","100-Day Mission Total (Manu. & Infr.)",35938019.1800579,53748569.5402294,24519729.3293118,39173797.798132,485389709934.312,777265890207.396,6712000125757.25,4371167550546.28,3308107548833.68,29520503.4523254,43268160.9627524,19266386.7920887,30732610.5150584,356046413441.565,560017148008.812,5076289492502.23,3228540736824.8,2406890339689.01,33824824.273467,50129962.6949617,22408384.4665184,36052505.0243532,436504748359.613,699156024835.696,6246741874061.96,3972247512314.1,2988044484628.86,39595822.0413489,60008428.8853081,27622844.123337,44406617.3524017,601576115114.227,969252602511.012,7652682594678.73,5233538796240.95,4081408752149.62,43263789.8476236,66239946.2394292,31335200.9590385,50809027.881149,674697633838.841,1093170396573.83,8216042730365,5693802466118.65,4514686909680.13
