"","country","gni","iso3c","vsl","income"
"1","Singapore",102450,"SGP",17879327.4687855,"HIC"
"2","Qatar",100450,"QAT",17530292.2814983,"HIC"
"3","Bermuda",91950,"BMU",16046892.7355278,"HIC"
"4","Luxembourg",83230,"LUX",14525099.3189557,"HIC"
"5","Norway",82840,"NOR",14457037.4574347,"HIC"
"6","Ireland",79370,"IRL",13851461.4074915,"HIC"
"7","Switzerland",75810,"CHE",13230178.7741203,"HIC"
"8","Macao SAR, China",72940,"MAC",12729313.2803632,"HIC"
"9","United Arab Emirates",71280,"ARE",12439614.0749149,"HIC"
"10","Hong Kong SAR, China",70600,"HKG",12320942.1112372,"HIC"
"11","United States",70480,"USA",12300000,"HIC"
"12","Denmark",66720,"DNK",11643813.8479001,"HIC"
"13","Brunei Darussalam",66480,"BRN",11601929.6254257,"HIC"
"14","Netherlands",63370,"NLD",11059179.9091941,"HIC"
"15","Sweden",61090,"SWE",10661279.7956867,"HIC"
"16","Germany",59630,"DEU",10406484.1089671,"HIC"
"17","Belgium",59430,"BEL",10371580.5902384,"HIC"
"18","Austria",58370,"AUT",10186591.9409762,"HIC"
"19","Finland",55940,"FIN",9762514.18842225,"HIC"
"20","Kuwait",55930,"KWT",9760769.01248581,"HIC"
"21","Iceland",55890,"ISL",9753788.30874007,"HIC"
"22","Australia",55660,"AUS",9713649.26220204,"HIC"
"23","San Marino",53680,"SMR",9368104.42678774,"HIC"
"24","Cayman Islands",52500,"CYM",9162173.66628831,"HIC"
"25","Canada",51690,"CAN",9020814.415437,"HIC"
"26","France",51660,"FRA",9015578.8876277,"HIC"
"27","United Kingdom",49420,"GBR",8624659.47786606,"HIC"
"28","Korea, Rep.",47770,"KOR",8336705.44835414,"HIC"
"29","Bahrain",46900,"BHR",8184875.14188422,"HIC"
"30","Italy",46450,"ITA",8106342.22474461,"HIC"
"31","Saudi Arabia",46130,"SAU",8050496.59477866,"HIC"
"32","New Zealand",45440,"NZL",7930079.45516459,"HIC"
"33","Malta",45370,"MLT",7917863.22360954,"HIC"
"34","Japan",44570,"JPN",7778249.14869466,"HIC"
"35","Israel",44060,"ISR",7689245.17593644,"HIC"
"36","Czech Republic",43360,"CZE",7567082.86038593,"HIC"
"37","Slovenia",43040,"SVN",7511237.23041998,"HIC"
"38","Estonia",41520,"EST",7245970.48808172,"HIC"
"39","Aruba",41430,"ABW",7230263.9046538,"HIC"
"40","Lithuania",41170,"LTU",7184889.33030647,"HIC"
"41","Spain",40910,"ESP",7139514.75595914,"HIC"
"42","Cyprus",40380,"CYP",7047020.43132804,"HIC"
"43","Poland",36060,"POL",6293104.42678774,"HIC"
"44","Hungary",35640,"HUN",6219807.03745744,"HIC"
"45","Portugal",35390,"PRT",6176177.63904654,"HIC"
"46","Romania",35260,"ROU",6153490.35187287,"UMIC"
"47","Oman",35120,"OMN",6129057.88876277,"HIC"
"48","Croatia",34620,"HRV",6041799.09194098,"HIC"
"49","Latvia",33760,"LVA",5891713.96140749,"HIC"
"50","Slovak Republic",32450,"SVK",5663095.91373439,"HIC"
"51","Russian Federation",32070,"RUS",4781286.73103388,"UMIC"
"52","Greece",31480,"GRC",5493813.84790011,"HIC"
"53","Bahamas, The",31010,"BHS",5411790.57888763,"HIC"
"54","Türkiye",30290,"TUR",4464626.83153507,"UMIC"
"55","Seychelles",29800,"SYC",5200624.29057889,"HIC"
"56","Panama",29720,"PAN",5186662.8830874,"UMIC"
"57","St. Kitts and Nevis",28420,"KNA",4959790.01135074,"HIC"
"58","Malaysia",28150,"MYS",4088839.99461195,"UMIC"
"59","Bulgaria",27200,"BGR",3923816.79540124,"UMIC"
"60","Chile",27020,"CHL",4715465.38024972,"HIC"
"61","Trinidad and Tobago",25210,"TTO",4399588.53575482,"HIC"
"62","Kazakhstan",25160,"KAZ",3573376.69831557,"UMIC"
"63","Puerto Rico",24760,"PRI",4321055.61861521,"HIC"
"64","Libya",24330,"LBY",3432389.52305623,"UMIC"
"65","Curaçao",23790,"CUW",4151773.55278093,"HIC"
"66","Montenegro",23770,"MNE",3337805.72347817,"UMIC"
"67","Mauritius",23380,"MUS",3272197.02266169,"UMIC"
"68","Argentina",23170,"ARG",3236959.58829444,"UMIC"
"69","Uruguay",22950,"URY",4005178.77412032,"HIC"
"70","Guyana",22920,"GUY",3195093.50883017,"UMIC"
"71","Nauru",21820,"NRU",3807973.89330306,"HIC"
"72","Costa Rica",21810,"CRI",3010321.18991566,"UMIC"
"73","Belarus",20860,"BLR",2853666.40076138,"UMIC"
"74","Antigua and Barbuda",20770,"ATG",3624730.4199773,"HIC"
"75","Serbia",20670,"SRB",2822504.27839276,"UMIC"
"76","Turks and Caicos Islands",20550,"TCA",3586336.54937571,"HIC"
"77","Mexico",19740,"MEX",2670807.67116207,"UMIC"
"78","Dominican Republic",19440,"DOM",2622174.25846213,"UMIC"
"79","China",19160,"CHN",2576918.25835622,"UMIC"
"80","Maldives",18770,"MDV",2514103.56630011,"UMIC"
"81","Thailand",18120,"THA",2409993.48736964,"UMIC"
"82","North Macedonia",17410,"MKD",2297124.65067055,"UMIC"
"83","Bosnia and Herzegovina",17120,"BIH",2251285.37140718,"UMIC"
"84","Colombia",16540,"COL",2160074.06819574,"UMIC"
"85","Iran, Islamic Rep.",16540,"IRN",2160074.06819574,"LMIC"
"86","Georgia",15950,"GEO",2067944.41881253,"UMIC"
"87","Moldova",15810,"MDA",2046182.0987499,"UMIC"
"88","Brazil",15600,"BRA",2013610.90708153,"UMIC"
"89","Azerbaijan",15520,"AZE",2001225.81864642,"UMIC"
"90","Albania",15490,"ALB",1996584.69775527,"UMIC"
"91","Palau",15490,"PLW",1996584.69775527,"HIC"
"92","Botswana",15420,"BWA",1985762.41029314,"UMIC"
"93","Armenia",15140,"ARM",1942571.83260121,"UMIC"
"94","Turkmenistan",15050,"TKM",1928722.89963948,"UMIC"
"95","St. Vincent and the Grenadines",14970,"VCT",1916426.63146807,"UMIC"
"96","Barbados",14810,"BRB",2584605.56186152,"HIC"
"97","Paraguay",14600,"PRY",1859728.14582063,"UMIC"
"98","Sri Lanka",14370,"LKA",1824627.25900644,"LMIC"
"99","South Africa",14340,"ZAF",1820057.12258272,"UMIC"
"100","Grenada",14150,"GRD",1791157.45418463,"UMIC"
"101","Suriname",14090,"SUR",1782047.30643558,"UMIC"
"102","Ukraine",13860,"UKR",1747197.1527137,"LMIC"
"103","St. Lucia",13810,"LCA",1739636.25988524,"UMIC"
"104","Lebanon",13700,"LBN",1723021.58291556,"UMIC"
"105","Kosovo",13300,"XKX",1662830.59297761,"LMIC"
"106","Gabon",12800,"GAB",1588100.56600066,"UMIC"
"107","Peru",12780,"PER",1585123.34289725,"UMIC"
"108","Indonesia",12680,"IDN",1570251.22618265,"LMIC"
"109","Egypt, Arab Rep.",12320,"EGY",1516906.75861734,"LMIC"
"110","Dominica",11990,"DMA",1468280.58668481,"UMIC"
"111","Equatorial Guinea",11990,"GNQ",1468280.58668481,"UMIC"
"112","Algeria",11860,"DZA",1449197.79239123,"LMIC"
"113","Ecuador",11540,"ECU",1402403.56644225,"UMIC"
"114","Bhutan",11250,"BTN",1360219.71086355,"LMIC"
"115","Vietnam",11080,"VNM",1335591.81669764,"LMIC"
"116","Mongolia",10950,"MNG",1316809.58765466,"LMIC"
"117","Tunisia",10910,"TUN",1311039.38232,"LMIC"
"118","Fiji",10720,"FJI",1283688.88075083,"UMIC"
"119","Jamaica",10240,"JAM",1215027.15697017,"UMIC"
"120","Jordan",10080,"JOR",1192281.14364654,"UMIC"
"121","Namibia",9850,"NAM",1159710.29779338,"UMIC"
"122","Iraq",9750,"IRQ",1145596.23007984,"UMIC"
"123","Guatemala",9590,"GTM",1123073.98044688,"UMIC"
"124","El Salvador",9420,"SLV",1099226.32422594,"LMIC"
"125","Belize",9330,"BLZ",1086635.8009311,"LMIC"
"126","Philippines",9210,"PHL",1069886.21826082,"LMIC"
"127","Eswatini",8950,"SWZ",1033745.61258122,"LMIC"
"128","Morocco",8730,"MAR",1003328.45529304,"LMIC"
"129","Bolivia",8620,"BOL",988177.033121413,"LMIC"
"130","Uzbekistan",8520,"UZB",974436.516773276,"LMIC"
"131","Lao PDR",8100,"LAO",917081.768101323,"LMIC"
"132","Marshall Islands",7410,"MHL",824153.081007484,"UMIC"
"133","West Bank and Gaza",7370,"PSE",818817.323585099,"LMIC"
"134","Tuvalu",7210,"TUV",797532.435227194,"UMIC"
"135","India",7130,"IND",786925.235640422,"LMIC"
"136","Tonga",7130,"TON",786925.235640422,"UMIC"
"137","Bangladesh",6840,"BGD",748675.047840816,"LMIC"
"138","Cabo Verde",6590,"CPV",715959.629237346,"LMIC"
"139","Angola",5980,"AGO",637187.808521977,"LMIC"
"140","Samoa",5970,"WSM",635909.384693564,"LMIC"
"141","Ghana",5820,"GHA",616784.737626969,"LMIC"
"142","Nicaragua",5800,"NIC",614242.170247266,"LMIC"
"143","Mauritania",5750,"MRT",607893.431325495,"LMIC"
"144","Pakistan",5680,"PAK",599023.74756889,"LMIC"
"145","Côte d'Ivoire",5670,"CIV",597758.4273518,"LMIC"
"146","Honduras",5620,"HND",591438.532547433,"LMIC"
"147","Djibouti",5300,"DJI",551260.761230281,"LMIC"
"148","Nigeria",5200,"NGA",538803.054776019,"LMIC"
"149","Tajikistan",5180,"TJK",536317.228884092,"LMIC"
"150","Kenya",5130,"KEN",530111.072013471,"LMIC"
"151","Kyrgyz Republic",4860,"KGZ",496809.120478521,"LMIC"
"152","Cambodia",4540,"KHM",457818.207229399,"LMIC"
"153","São Tomé and Principe",4500,"STP",452982.11322028,"LMIC"
"154","Myanmar",4310,"MMR",430129.036410069,"LMIC"
"155","Nepal",4230,"NPL",420566.307844066,"LMIC"
"156","Micronesia, Fed. Sts.",4010,"FSM",394456.651843179,"LMIC"
"157","Cameroon",3970,"CMR",389739.698695993,"LMIC"
"158","Sudan",3910,"SDN",160720.547960965,"LIC"
"159","Kiribati",3870,"KIR",377989.029176961,"LMIC"
"160","Papua New Guinea",3870,"PNG",377989.029176961,"LMIC"
"161","Senegal",3760,"SEN",365133.307265608,"LMIC"
"162","Benin",3750,"BEN",363968.298345219,"LMIC"
"163","Comoros",3560,"COM",341952.697893428,"LMIC"
"164","Congo, Rep.",3400,"COG",323594.206372218,"LMIC"
"165","Vanuatu",3360,"VUT",319031.2091027,"LMIC"
"166","Zambia",3250,"ZMB",121795.518835751,"LMIC"
"167","Haiti",3160,"HTI",296381.120841201,"LMIC"
"168","Timor-Leste",2880,"TLS",265153.291274688,"LMIC"
"169","Lesotho",2870,"LSO",264048.869863109,"LMIC"
"170","Tanzania",2830,"TZA",259638.899447547,"LMIC"
"171","Solomon Islands",2680,"SLB",243213.562849903,"LMIC"
"172","Guinea",2560,"GIN",85146.3854206591,"LIC"
"173","Ethiopia",2530,"ETH",83654.0651202888,"LIC"
"174","Rwanda",2410,"RWA",77773.5337519827,"LIC"
"175","Togo",2340,"TGO",74409.7858158757,"LIC"
"176","Burkina Faso",2270,"BFA",71095.9814953073,"LIC"
"177","Zimbabwe",2270,"ZWE",199276.949095388,"LMIC"
"178","Gambia, The",2220,"GMB",68759.9781501559,"LIC"
"179","Mali",2220,"MLI",68759.9781501559,"LIC"
"180","Uganda",2140,"UGA",65076.9107334313,"LIC"
"181","Guinea-Bissau",2010,"GNB",59237.9955078483,"LIC"
"182","Sierra Leone",1750,"SLE",48124.1798710278,"LIC"
"183","Afghanistan",1680,"AFG",45265.7990299911,"LIC"
"184","Malawi",1610,"MWI",42466.3644300646,"LIC"
"185","Madagascar",1570,"MDG",40893.6378827013,"LIC"
"186","Chad",1510,"TCD",38571.9583619625,"LIC"
"187","Liberia",1470,"LBR",37049.493098798,"LIC"
"188","Niger",1330,"NER",31884.8023933848,"LIC"
"189","Mozambique",1320,"MOZ",31525.8761538734,"LIC"
"190","Somalia",1240,"SOM",28703.7603934316,"LIC"
"191","Congo, Dem. Rep.",1110,"COD",24310.323412107,"LIC"
"192","Central African Republic",980,"CAF",20167.1896268493,"LIC"
"193","Burundi",780,"BDI",15600,"LIC"
"194","Cuba",19614.2635704684,"CUB",2650406.23938395,"UMIC"
"195","Eritrea",2027.17732974876,"ERI",59998.9816841621,"LIC"
"196","Guam",55134.9737002317,"GUM",9622022.93576688,"HIC"
"197","French Polynesia",55134.9737002317,"PYF",9622022.93576688,"HIC"
"198","South Sudan",2027.17732974876,"SSD",59998.9816841621,"LIC"
"199","Syria",2027.17732974876,"SYR",59998.9816841621,"LIC"
"200","Taiwan",55134.9737002317,"TWN",9622022.93576688,"HIC"
"201","Venezuela",19614.2635704684,"VEN",2650406.23938395,"UMIC"
"202","Yemen",2027.17732974876,"YEM",59998.9816841621,"LIC"
"203","Low income",2027.17732974876,"LIC",59998.9816841621,"LIC"
"204","Lower middle income",7829.28625808227,"LMIC",880425.562818219,"LMIC"
"205","Upper middle income",19614.2635704684,"UMIC",2650406.23938395,"UMIC"
"206","High income",55134.9737002317,"HIC",9622022.93576688,"HIC"
